ID,ID_rock,block_plot,block_day,block,plot,sp,depth,resolution,day_of_year,sampling_date,date,_,serial_nb,fraction,fresh_weight_g,fresh_weight_aff,part_fresh_w,dry_weight,dry_weight_f_100,calc_tot_dry_weight,tot_dry_weight_aff,f_perc_prop_weight_aff,vol_calc_sk_ml,vol_perc_sk,vol_fine_cm3,Date_dry_weighing,soilvol_m3,soilvol_cm3,FRB_g_cm3,SRL_m_g,RLD_m_m3,mycelium,length_cm,length_aff_cm,projarea_cm2,surfarea_cm2,avgdiam_mm,lenpervol_cm_m3,rootvol_cm3,rootvol_class_cm3,rootvol_aff_class_cm3,rtd_g_cm3,tips,forks,crossings,ntips_length_n_cm,nforks_length_n_cm,rdmc_dry_g_fresh_g,loi_perc,tc_perc,tn_perc,ca_mg_kg,k_mg_kg,mg_mg_kg,mn_mg_kg,ep_mg_kg,silt_clay_perc,clay_perc,silt_perc,sand_perc,h2o,moist_bepa_5cm,moist_bepa_5cm_vol100perc,moist_bepa_25cm,moist_bepa_25cm_vol100perc,moist_pist_5cm,moist_pist_5cm_vol100perc,moist_pist_25cm,moist_pist_25cm_vol100perc
2_4_LALA_5_10_500_180814_C,2_4_LALA_5_10,24,2226,2,4,LALA,5_10,500,226,8/14/2018,180814,_,180031,C,0.0639,0.0639,NA,0.0159,,NA,0.0159,,18.53,18.91,79.47,12/17/2018,0.000098,98,0.0002,1.4,272.7,no,2.167,2.167,0.4207,1.3218,1.9416,22111.9573,0.064,0.063,0.063,0.251,3,3,0,1.38,1.38,0.25,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_5_10_500_180814_TF,2_4_LALA_5_10,24,2226,2,4,LALA,5_10,500,226,8/14/2018,180814,_,180032,TF,0.4397,0.4397,NA,0.1346,,NA,0.1346,,18.53,18.91,79.47,12/17/2018,0.000098,98,0.0017,3.7,6256.4,no,49.7198,49.7198,5.0713,15.932,1.02,507344.7152,0.406,0.443,0.443,0.304,127,82,0,2.55,1.65,0.31,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_5_10_500_180814_AF,2_4_LALA_5_10,24,2226,2,4,LALA,5_10,500,226,8/14/2018,180814,_,180033,AF,0.2157,0.6862,NA,0.0602,,NA,0.2027,,18.53,18.91,79.47,12/17/2018,0.000098,98,0.0026,37.5,95645.9,no,132.9622,760.101980928528,6.0155,18.8982,0.4524,1356756.806,0.214,0.216,1.012,0.200,634,509,28,0.83,0.67,0.30,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_5_10_500_180814_F,2_4_LALA_5_10,24,2226,2,4,LALA,5_10,500,226,8/14/2018,180814,_,180034,F,0.0554,0.5540,NA,0.0173,0.1730,NA,0.1730,85.36,18.53,18.91,79.47,12/17/2018,0.000098,98,0.0022,40.7,88509.8,no,70.3391,703.391,2.814,8.8406,0.4001,717745.5407,0.088,0.099,0.992,0.174,412,180,9,0.59,0.26,0.31,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_5_10_500_180814_D,2_4_LALA_5_10,24,2226,2,4,LALA,5_10,500,226,8/14/2018,180814,_,180035,D,0.0383,0.1218,NA,0.0129,,NA,0.0434,,18.53,18.91,79.47,12/17/2018,0.000098,98,0.0005,21.3,11629.2,no,16.1663,92.4175190714719,0.9857,3.0968,0.6097,164962.2614,0.047,0.053,0.249,0.174,64,33,2,0.69,0.36,0.36,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_10_15_500_180814_C,2_4_LALA_10_15,24,2226,2,4,LALA,10_15,500,226,8/14/2018,180814,_,180036,C,0.0000,0.0000,NA,0.0000,,NA,0.0000,,7.17,0.00,0.00,12/17/2018,0,0,0.0000,0.0,0.0,no,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0,0,0.00,0.00,0.00,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_10_15_500_180814_TF,2_4_LALA_10_15,24,2226,2,4,LALA,10_15,500,226,8/14/2018,180814,_,180037,TF,0.0000,0.0000,NA,0.0000,,NA,0.0000,,7.17,0.00,0.00,12/17/2018,0,0,0.0000,0.0,0.0,no,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0,0,0.00,0.00,0.00,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_10_15_500_180814_AF,2_4_LALA_10_15,24,2226,2,4,LALA,10_15,500,226,8/14/2018,180814,_,180038,AF,0.0072,0.0086,NA,0.0015,,NA,0.0019,,7.17,7.32,90.83,12/17/2018,0.000098,98,0.0000,83.3,1701.9,no,4.4366,15.45791209684,0.1954,0.6138,0.4404,45271.0755,0.007,0.007,0.008,0.236,6,4,0,0.39,0.26,0.22,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_10_15_500_180814_F,2_4_LALA_10_15,24,2226,2,4,LALA,10_15,500,226,8/14/2018,180814,_,180039,F,0.0052,0.0520,NA,0.0019,0.0190,NA,0.0190,1024.06,7.17,7.32,90.83,12/17/2018,0.000098,98,0.0002,64.1,13398.8,no,12.1695,121.695,0.3839,1.206,0.3155,124178.7805,0.01,0.008,0.080,0.238,77,21,1,0.63,0.17,0.37,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
2_4_LALA_10_15_500_180814_D,2_4_LALA_10_15,24,2226,2,4,LALA,10_15,500,226,8/14/2018,180814,_,180040,D,0.2550,0.3056,NA,0.0787,,NA,0.0973,,7.17,7.32,90.83,12/17/2018,0.000098,98,0.0011,15.9,17090.5,no,44.5514,155.22508790316,3.904,12.2648,0.8763,454606.5173,0.269,0.376,0.454,0.214,326,158,6,2.10,1.02,0.32,3.76,1.85,0.125,158.5,17.8,3.13,3.10,63.8,22.07,9.3,12.77,77.93,L,0.057,5.7,0.081,8.1,0.051,5.1,0.055,5.5
